IndicatorID,IndicatorName,Age,Sex,TimePeriod,TimePeriodSortable,PeriodStart,PeriodEnd,PeriodMidYear,Value,LowerCI95,UpperCI95,Count,Denominator,ValueNote,RecentTrend,RateScale,RateUnit,IsLatestPeriod
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2004 - 06,20040000,2004,2006,2005.0,1.54745,1.49136,1.6051,2872.0,1855960.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2005 - 07,20050000,2005,2007,2006.0,1.52038,1.46549,1.57679,2895.0,1904133.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2006 - 08,20060000,2006,2008,2007.0,1.49446,1.44088,1.54953,2935.0,1963914.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2007 - 09,20070000,2007,2009,2008.0,1.48308,1.43017,1.53744,2965.0,1999224.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2008 - 10,20080000,2008,2010,2009.0,1.4383,1.38661,1.49142,2921.0,2030874.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2009 - 11,20090000,2009,2011,2010.0,1.37231,1.32202,1.42403,2808.0,2046185.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2010 - 12,20100000,2010,2012,2011.0,1.3091,1.26026,1.35934,2709.0,2069368.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2011 - 13,20110000,2011,2013,2012.0,1.26583,1.21755,1.31553,2591.0,2046878.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2012 - 14,20120000,2012,2014,2013.0,1.22014,1.17245,1.26928,2465.0,2020254.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2013 - 15,20130000,2013,2015,2014.0,1.17765,1.13045,1.22631,2344.0,1990412.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2014 - 16,20140000,2014,2016,2015.0,1.13823,1.09182,1.18611,2264.0,1989050.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2015 - 17,20150000,2015,2017,2016.0,1.11986,1.07367,1.16754,2211.0,1974348.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2016 - 18,20160000,2016,2018,2017.0,1.10095,1.0547,1.14871,2131.0,1935600.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2017 - 19,20170000,2017,2019,2018.0,1.09031,1.04365,1.13852,2053.0,1882950.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2018 - 20,20180000,2018,2020,2019.0,1.07448,1.02739,1.12316,1957.0,1821351.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2019 - 21,20190000,2019,2021,2020.0,1.08615,1.03842,1.13551,1946.0,1791648.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2020 - 22,20200000,2020,2022,2021.0,1.06985,1.02204,1.11932,1881.0,1758189.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2021 - 23,20210000,2021,2023,2022.0,1.08779,1.03928,1.13797,1889.0,1736555.0,,,1000.0,"per 1,000",False
92706,Post-neonatal mortality rate,28 days - 1 yr,Persons,2022 - 24,20220000,2022,2024,2023.0,1.10108498725352,1.05188217492819,1.15199520574243,1881.0,1708315.0,,Cannot be calculated,1000.0,"per 1,000",True
92530,Stillbirth rate,0 yrs,Persons,2001 - 03,20010000,2001,2003,2002.0,5.55093,5.44042,5.66311,9597.0,1728901.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2002 - 04,20020000,2002,2004,2003.0,5.69201,5.58149,5.80417,10091.0,1772835.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2003 - 05,20030000,2003,2005,2004.0,5.59703,5.48887,5.70679,10188.0,1820251.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2004 - 06,20040000,2004,2006,2005.0,5.4663,5.36073,5.57343,10201.0,1866161.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2005 - 07,20050000,2005,2007,2006.0,5.29185,5.1893,5.39593,10130.0,1914263.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2006 - 08,20060000,2006,2008,2007.0,5.19661,5.09653,5.29815,10259.0,1974173.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2007 - 09,20070000,2007,2009,2008.0,5.13945,5.04081,5.23955,10328.0,2009552.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2008 - 10,20080000,2008,2010,2009.0,5.10461,5.00706,5.20357,10420.0,2041294.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2009 - 11,20090000,2009,2011,2010.0,5.15948,5.06178,5.25859,10612.0,2056797.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2010 - 12,20100000,2010,2012,2011.0,5.03979,4.94376,5.13721,10482.0,2079850.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2011 - 13,20110000,2011,2013,2012.0,4.89996,4.80476,4.99657,10079.0,2056957.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2012 - 14,20120000,2012,2014,2013.0,4.6838,4.59012,4.77892,9507.0,2029761.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2013 - 15,20130000,2013,2015,2014.0,4.55211,4.45906,4.6466,9102.0,1999514.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2014 - 16,20140000,2014,2016,2015.0,4.45158,4.35954,4.54507,8894.0,1997944.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2015 - 17,20150000,2015,2017,2016.0,4.29982,4.20903,4.39208,8526.0,1982874.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2016 - 18,20160000,2016,2018,2017.0,4.16424,4.074,4.25596,8094.0,1943694.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2017 - 19,20170000,2017,2019,2018.0,3.99102,3.90147,4.08211,7545.0,1890495.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2018 - 20,20180000,2018,2020,2019.0,3.88143,3.79165,3.97281,7097.0,1828448.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2019 - 21,20190000,2019,2021,2020.0,3.90732,3.8165,3.99976,7028.0,1798676.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2020 - 22,20200000,2020,2022,2021.0,3.94188,3.8498,4.03561,6958.0,1765147.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2021 - 23,20210000,2021,2023,2022.0,3.99022,3.897,4.08511,6957.0,1743512.0,,,1000.0,"per 1,000",False
92530,Stillbirth rate,0 yrs,Persons,2022 - 24,20220000,2022,2024,2023.0,3.89970163317499,3.80679381892754,3.99430405508697,6688.0,1715003.0,,Cannot be calculated,1000.0,"per 1,000",True
